Date,traffic_congestion_detected,num_posts,avg_compound,neg_fraction,pos_fraction,high_negative_sentiment,high_positive_sentiment,sentiment_shift_detected,sentiment_improved,sentiment_worsened,sentiment_volatility,fear_keywords_present,anger_mentioned,sadness_keywords_present,anxiety_keywords_present,dominant_emotion_fear,dominant_emotion,mixed_emotions,fear_intensity_norm,anger_intensity_norm,evacuation_mentioned,policy_governance_discussion,solidarity_messages,weekend,emotion_mobility_mismatch,low_emotion_low_mobility_signal,emotion_with_mobility_signal
2025-01-03,0.0,1.0,-0.8555,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fear,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
2025-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2025-01-07,1.0,1.0,-0.7003,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,fear,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1
2025-01-08,1.0,3.0,0.0684999999999999,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.4039962156038373,1.0,0.0,1.0,1.0,1.0,fear,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0,0,0,1
2025-01-09,0.0,4.0,-0.05725,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.3367128359431652,1.0,1.0,1.0,0.0,0.0,fear,1.0,0.25,0.25,0.0,0.0,1.0,0,1,0,0
2025-01-10,0.0,3.0,-0.0822666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0659709396366552,0.0,0.0,1.0,0.0,0.0,sadness,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0
2025-01-11,0.0,1.0,-0.34,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.127801872365967,0.0,0.0,0.0,0.0,0.0,fear,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
2025-01-12,0.0,1.0,0.9118,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5397116770285665,0.0,0.0,0.0,0.0,0.0,fear,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,0
2025-01-13,0.0,7.0,-0.2912285714285714,0.4285714285714285,0.1428571428571428,0.0,0.0,1.0,0.0,1.0,0.5789511240086936,0.0,1.0,1.0,1.0,0.0,anger,1.0,0.0,0.1428571428571428,0.0,1.0,1.0,0,0,1,0
2025-01-14,0.0,5.0,-0.2457799999999999,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5567100554665745,0.0,0.0,0.0,0.0,0.0,fear,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1,0
2025-01-15,1.0,9.0,-0.1755,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0476071344907648,1.0,1.0,0.0,0.0,0.0,fear,0.0,0.1111111111111111,0.1111111111111111,0.0,1.0,1.0,0,0,0,1
2025-01-16,1.0,10.0,-0.06217,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0756421394902779,0.0,0.0,1.0,0.0,0.0,sadness,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0
2025-01-17,1.0,10.0,-0.08962,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0482730265146995,1.0,1.0,1.0,0.0,0.0,anger,1.0,0.1,0.3,1.0,1.0,1.0,0,0,0,1
2025-01-18,0.0,7.0,-0.1979857142857142,0.5714285714285714,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,0.0586349713430397,1.0,0.0,0.0,0.0,0.0,fear,0.0,0.1428571428571428,0.0,0.0,1.0,1.0,1,1,0,0
2025-01-19,0.0,3.0,-0.1951333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0504252225476956,0.0,0.0,0.0,0.0,0.0,fear,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0
2025-01-20,0.0,2.0,-0.5119,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.1486574869975044,1.0,0.0,0.0,0.0,1.0,fear,0.0,0.5,0.0,0.0,0.0,1.0,0,1,0,0
2025-01-21,1.0,7.0,0.1754142857142857,0.2857142857142857,0.4285714285714285,0.0,0.0,1.0,1.0,0.0,0.2808810714005146,0.0,0.0,0.0,0.0,0.0,fear,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0
2025-01-22,1.0,8.0,-0.1060375,0.5,0.125,0.0,0.0,1.0,0.0,1.0,0.2821229842019156,1.0,1.0,1.0,0.0,0.0,fear,1.0,0.125,0.125,1.0,1.0,1.0,0,0,0,1
2025-01-23,1.0,8.0,-0.1032125,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.1320168230122521,1.0,0.0,1.0,0.0,1.0,fear,0.0,0.375,0.0,0.0,1.0,0.0,0,0,0,1
2025-01-24,1.0,4.0,-0.430275,0.75,0.0,1.0,0.0,1.0,0.0,1.0,0.1535172143577607,1.0,1.0,0.0,0.0,0.0,fear,0.0,0.25,0.25,0.0,1.0,0.0,0,0,0,1
2025-01-25,0.0,5.0,-0.60122,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2066138486235992,1.0,0.0,1.0,0.0,1.0,fear,0.0,0.4,0.0,0.0,1.0,0.0,1,1,0,0
2025-01-26,0.0,5.0,-0.30882,0.6,0.0,1.0,0.0,1.0,1.0,0.0,0.1199403879942958,0.0,0.0,0.0,0.0,0.0,fear,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0
2025-01-27,0.0,7.0,-0.2108285714285714,0.4285714285714285,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.1658330980150793,0.0,0.0,0.0,0.0,0.0,fear,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1,0
2025-01-28,1.0,6.0,-0.3962833333333333,0.8333333333333334,0.1666666666666666,1.0,0.0,0.0,0.0,0.0,0.0757522448984547,1.0,0.0,0.0,0.0,0.0,fear,0.0,0.1666666666666666,0.0,0.0,0.0,1.0,0,0,0,1
2025-01-29,1.0,4.0,-0.389125,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.085786768528194,0.0,0.0,0.0,0.0,0.0,fear,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
2025-01-30,1.0,5.0,0.0757599999999999,0.6,0.4,0.0,0.0,1.0,1.0,0.0,0.2208554614084755,0.0,0.0,1.0,0.0,0.0,sadness,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0
2025-01-31,1.0,2.0,-0.27115,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.1973104468569489,0.0,0.0,0.0,0.0,0.0,fear,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
