Day,VMT (Veh-Miles),TTI,VHT (Veh-Hours),Delay (V_t=35) (Veh-Hours),# Lane Points,% Observed,Date
1/5/2025 0:00,85983765.0,1.0,1386513.6,19219.6,2494656.0,22.1,2025-01-05
1/6/2025 0:00,96413230.6,1.1,1733297.7,80199.4,2494656.0,20.6,2025-01-06
1/7/2025 0:00,97114748.3,1.1,1848453.1,125616.6,2494656.0,21.8,2025-01-07
1/8/2025 0:00,94284507.1,1.1,1783113.2,109799.7,2494656.0,21.0,2025-01-08
1/9/2025 0:00,97138033.6,1.1,1779180.2,82308.6,2494656.0,14.5,2025-01-09
1/10/2025 0:00,99338860.6,1.1,1813058.9,80206.1,2494656.0,15.7,2025-01-10
1/11/2025 0:00,93235948.4,1.0,1544554.9,19787.3,2494656.0,18.4,2025-01-11
1/12/2025 0:00,84043125.1,1.0,1337960.8,4180.0,2494656.0,20.5,2025-01-12
1/13/2025 0:00,95096994.5,1.1,1711232.8,80213.2,2494656.0,20.4,2025-01-13
1/14/2025 0:00,95226241.8,1.1,1777279.4,103296.1,2494656.0,22.7,2025-01-14
1/15/2025 0:00,99167389.1,1.2,1904478.2,132896.2,2494656.0,22.4,2025-01-15
1/16/2025 0:00,99698078.4,1.1,1898072.0,131579.2,2494656.0,23.2,2025-01-16
1/17/2025 0:00,103653015.9,1.1,1960864.4,126725.7,2494656.0,23.4,2025-01-17
1/18/2025 0:00,97946205.8,1.0,1653138.4,34716.3,2494656.0,24.6,2025-01-18
1/19/2025 0:00,88468496.2,1.0,1412709.6,7052.8,2494656.0,23.4,2025-01-19
1/20/2025 0:00,95552692.0,1.1,1686263.9,62017.3,2494656.0,22.2,2025-01-20
1/21/2025 0:00,97672634.2,1.2,1863960.4,140367.7,2494656.0,21.5,2025-01-21
1/22/2025 0:00,97210880.4,1.2,1870025.9,142948.5,2494656.0,19.3,2025-01-22
1/23/2025 0:00,100886774.8,1.2,1946491.9,147603.9,2494656.0,23.0,2025-01-23
1/24/2025 0:00,102585734.2,1.1,1950483.6,132872.8,2494656.0,22.4,2025-01-24
1/25/2025 0:00,98177257.3,1.0,1671112.5,40571.0,2494656.0,23.3,2025-01-25
1/26/2025 0:00,82790320.4,1.0,1346708.0,12076.4,2494656.0,25.7,2025-01-26
1/27/2025 0:00,97253219.7,1.1,1775438.4,99255.5,2494656.0,24.1,2025-01-27
1/28/2025 0:00,96818792.4,1.1,1840664.1,138220.4,2494656.0,25.0,2025-01-28
1/29/2025 0:00,98661491.2,1.1,1866644.2,136597.8,2494656.0,24.3,2025-01-29
1/30/2025 0:00,101839825.3,1.1,1940305.1,135464.1,2494656.0,24.3,2025-01-30
1/31/2025 0:00,104045994.1,1.1,1977320.0,137747.0,2494656.0,24.8,2025-01-31
2/1/2025 0:00,98344597.3,1.0,1637000.7,23953.6,2494656.0,6.3,2025-02-01
2/2/2025 0:00,86067875.6,1.0,1365307.0,4201.0,2494656.0,0.3,2025-02-02
2/3/2025 0:00,96119270.8,1.1,1716335.5,76034.1,2494656.0,8.7,2025-02-03
2/4/2025 0:00,97842474.3,1.1,1844818.3,134099.8,2494656.0,24.8,2025-02-04
2/5/2025 0:00,42378447.7,1.1,791582.8,55727.6,1247328.0,24.1,2025-02-05
